"uid","namedLocation","domainID","siteID","plotID","plotType","collectDate","samplingProtocolVersion","sampleID","sampleCode","moistureSampleID","horizon","ovenStartDate","ovenEndDate","boatMass","freshMassBoatMass","dryMassBoatMass","soilMoisture","dryMassFraction","smRemarks","smMeasuredBy","dataQF"
"94ed6d14-1a80-404f-9671-e0eaef2d7a22","HARV_004.basePlot.bgc","D01","HARV","HARV_004",NA,"2018-04-18T17:22Z","NEON.DOC.014048vK","HARV_004-O-21-0-20180418","A00000001250","HARV_004-O-21-0-20180418-SM","O","2018-04-19T14:15Z","2018-04-23T14:15Z",2.06,7.05,3.88,1.742,0.365,NA,"dmikros@battelleecology.org",NA
"a93177b2-521e-4aa6-a8f7-f20add310fdd","HARV_004.basePlot.bgc","D01","HARV","HARV_004",NA,"2018-04-18T17:32Z","NEON.DOC.014048vK","HARV_004-M-21-0-20180418","A00000001229","HARV_004-M-21-0-20180418-SM","M","2018-04-19T13:20Z","2018-04-23T14:15Z",2.18,12.19,8.27,0.644,0.608,NA,"dmikros@battelleecology.org",NA
"a768702c-bf8b-448c-bb35-47b9b033ada4","HARV_034.basePlot.bgc","D01","HARV","HARV_034",NA,"2018-04-18T18:02Z","NEON.DOC.014048vK","HARV_034-O-7-1-20180418","A00000001277","HARV_034-O-7-1-20180418-SM","O","2018-04-19T13:55Z","2018-04-23T14:15Z",2.15,7.16,3.34,3.21,0.238,NA,"dmikros@battelleecology.org",NA
"8eabdb83-4797-4572-8fa6-46cb29d521c0","HARV_034.basePlot.bgc","D01","HARV","HARV_034",NA,"2018-04-18T18:12Z","NEON.DOC.014048vK","HARV_034-M-7-1-20180418","A00000001276","HARV_034-M-7-1-20180418-SM","M","2018-04-19T13:00Z","2018-04-23T14:15Z",2.14,12.15,7.98,0.714,0.583,NA,"dmikros@battelleecology.org",NA
"0ce5ada2-40cf-46a3-9cbd-a22d2ab6fb59","HARV_001.basePlot.bgc","D01","HARV","HARV_001",NA,"2018-04-18T18:26Z","NEON.DOC.014048vK","HARV_001-O-37.5-12.5-20180418","A00000001226","HARV_001-O-37.5-12.5-20180418-SM","O","2018-04-19T14:09Z","2018-04-23T14:15Z",2.11,7.12,4.2,1.397,0.417,NA,"dmikros@battelleecology.org",NA
"db050c55-6574-408b-8088-9312e4c18a43","HARV_001.basePlot.bgc","D01","HARV","HARV_001",NA,"2018-04-18T18:36Z","NEON.DOC.014048vK","HARV_001-M-37.5-12.5-20180418","A00000001223","HARV_001-M-37.5-12.5-20180418-SM","M","2018-04-19T13:40Z","2018-04-23T14:15Z",2.08,12.08,8.75,0.499,0.667,NA,"dmikros@battelleecology.org",NA
"ae6117b4-fad0-411f-9b6f-6a683623b10f","HARV_034.basePlot.bgc","D01","HARV","HARV_034",NA,"2018-04-18T18:37Z","NEON.DOC.014048vK","HARV_034-O-10-36-20180418","A00000001273","HARV_034-O-10-36-20180418-SM","O","2018-04-19T13:45Z","2018-04-23T14:15Z",2.15,7.16,3.27,3.473,0.224,NA,"dmikros@battelleecology.org",NA
"a0d201be-74ef-4f80-8bdf-007e283e2322","HARV_034.basePlot.bgc","D01","HARV","HARV_034",NA,"2018-04-18T18:43Z","NEON.DOC.014048vK","HARV_034-M-10-36-20180418","A00000001274","HARV_034-M-10-36-20180418-SM","M","2018-04-19T13:05Z","2018-04-23T14:15Z",2.17,12.18,8.52,0.576,0.634,NA,"dmikros@battelleecology.org",NA
"d732cfcc-a692-4960-8ae2-ead4c568cffb","HARV_001.basePlot.bgc","D01","HARV","HARV_001",NA,"2018-04-18T18:50Z","NEON.DOC.014048vK","HARV_001-O-28-35-20180418","A00000001222","HARV_001-O-28-35-20180418-SM","O","2018-04-19T14:15Z","2018-04-23T14:15Z",2.13,7.12,3.34,3.124,0.242,NA,"dmikros@battelleecology.org",NA
"2bf9fe10-67a5-4dbb-b20b-ce2ef51ac6af","HARV_001.basePlot.bgc","D01","HARV","HARV_001",NA,"2018-04-18T19:03Z","NEON.DOC.014048vK","HARV_001-M-28-35-20180418","A00000001224","HARV_001-M-28-35-20180418-SM","M","2018-04-19T13:35Z","2018-04-23T14:15Z",2.09,12.08,8.19,0.638,0.611,NA,"dmikros@battelleecology.org",NA
"155943b7-b39f-46e0-871c-a57a45b51526","HARV_034.basePlot.bgc","D01","HARV","HARV_034",NA,"2018-04-18T19:04Z","NEON.DOC.014048vK","HARV_034-O-26-8-20180418","A00000001278","HARV_034-O-26-8-20180418-SM","O","2018-04-19T13:45Z","2018-04-23T14:15Z",2.13,7.13,3.44,2.817,0.262,NA,"dmikros@battelleecology.org",NA
"0a273a39-03bd-41b8-8edc-aa34334a27a3","HARV_034.basePlot.bgc","D01","HARV","HARV_034",NA,"2018-04-18T19:15Z","NEON.DOC.014048vK","HARV_034-M-26-8-20180418","A00000001275","HARV_034-M-26-8-20180418-SM","M","2018-04-19T12:45Z","2018-04-23T14:15Z",2.15,12.15,9.17,0.425,0.702,NA,"scook@battelleecology.org",NA
"0369473c-25ff-458e-9dae-e688dc199e1a","HARV_001.basePlot.bgc","D01","HARV","HARV_001",NA,"2018-04-18T19:15Z","NEON.DOC.014048vK","HARV_001-O-9-34.5-20180418","A00000001225","HARV_001-O-9-34.5-20180418-SM","O","2018-04-19T14:00Z","2018-04-23T14:15Z",2.19,7.19,3.68,2.356,0.298,NA,"dmikros@battelleecology.org",NA
"a1f1a251-6373-424d-a875-c60023ebded5","HARV_001.basePlot.bgc","D01","HARV","HARV_001",NA,"2018-04-18T19:25Z","NEON.DOC.014048vK","HARV_001-M-9-34.5-20180418","A00000001221","HARV_001-M-9-34.5-20180418-SM","M","2018-04-19T13:35Z","2018-04-23T14:15Z",2.12,12.12,8.52,0.563,0.64,NA,"dmikros@battelleecology.org",NA
"5ee8985d-ba83-4fe3-a3d9-7df79b2708f6","HARV_035.basePlot.bgc","D01","HARV","HARV_035",NA,"2018-04-19T12:13Z","NEON.DOC.014048vF","HARV_035-O-0.5-36.5-20180419","A00000001272","HARV_035-O-0.5-36.5-20180419-SM","O","2018-04-20T13:00Z","2018-04-23T14:15Z",2.15,7.15,3.39,3.032,0.248,NA,"dmikros@battelleecology.org",NA
"e7ea4874-54e0-41c5-b4c9-d8574dc1ff59","HARV_035.basePlot.bgc","D01","HARV","HARV_035",NA,"2018-04-19T12:17Z","NEON.DOC.014048vF","HARV_035-M-0.5-36.5-20180419","A00000001255","HARV_035-M-0.5-36.5-20180419-SM","M","2018-04-20T13:00Z","2018-04-23T14:15Z",2.11,12.12,9.11,0.43,0.699,NA,"dmikros@battelleecology.org",NA
"b0d47fd3-9574-4666-bc1a-27247c7728f8","HARV_035.basePlot.bgc","D01","HARV","HARV_035",NA,"2018-04-19T12:43Z","NEON.DOC.014048vF","HARV_035-M-4.5-5-20180419","A00000001271","HARV_035-M-4.5-5-20180419-SM","M","2018-04-20T13:00Z","2018-04-23T14:15Z",2.16,12.15,8.66,0.537,0.651,NA,"dmikros@battelleecology.org",NA
"1c2fc7ef-913f-4941-a7fe-87b39a697a79","HARV_035.basePlot.bgc","D01","HARV","HARV_035",NA,"2018-04-19T12:44Z","NEON.DOC.014048vF","HARV_035-O-4.5-5-20180419","A00000001257","HARV_035-O-4.5-5-20180419-SM","O","2018-04-20T13:00Z","2018-04-23T14:15Z",2.09,7.09,3.96,1.674,0.374,NA,"dmikros@battelleecology.org",NA
"00e6f1a3-a6a6-4fcd-bc73-ccc7724f8d43","HARV_035.basePlot.bgc","D01","HARV","HARV_035",NA,"2018-04-19T13:16Z","NEON.DOC.014048vF","HARV_035-O-25.5-9-20180419","A00000001256","HARV_035-O-25.9-9-20180419-SM","O","2018-04-20T13:00Z","2018-04-23T14:15Z",2.09,7.08,3.35,2.96,0.253,NA,"dmikros@battelleecology.org",NA
"c9da9498-ed42-476d-b190-c4ea3958e811","HARV_035.basePlot.bgc","D01","HARV","HARV_035",NA,"2018-04-19T13:28Z","NEON.DOC.014048vF","HARV_035-M-25.5-9-20180419","A00000001254","HARV_035-M-25.5-9-20180419-SM","M","2018-04-20T13:00Z","2018-04-23T14:15Z",2.1,12.11,9.32,0.386,0.721,NA,"dmikros@battelleecology.org",NA
"ebc1a99e-2310-497b-8c44-5e703beb310d","HARV_037.basePlot.bgc","D01","HARV","HARV_037",NA,"2018-04-19T13:59Z","NEON.DOC.014048vF","HARV_037-O-30-22-20180419","A00000001270","HARV_037-O-30-22-20180419-SM","O","2018-04-20T13:00Z","2018-04-23T14:15Z",2.1,7.11,2.94,4.964,0.168,NA,"dmikros@battelleecology.org",NA
"441a082c-3754-474b-9748-be8cd4f37e10","HARV_037.basePlot.bgc","D01","HARV","HARV_037",NA,"2018-04-19T14:00Z","NEON.DOC.014048vF","HARV_037-M-30-22-20180419","A00000001251","HARV_037-M-30-22-20180419-SM","M","2018-04-20T13:00Z","2018-04-23T14:15Z",2.09,12.1,4.88,2.588,0.279,NA,"dmikros@battelleecology.org",NA
"7762a462-dac0-4593-8b3d-d1fce7c8191b","HARV_037.basePlot.bgc","D01","HARV","HARV_037",NA,"2018-04-19T14:38Z","NEON.DOC.014048vF","HARV_037-O-35-17.5-20180419","A00000001252","HARV_037-O-35-17.5-20180419-SM","O","2018-04-20T13:00Z","2018-04-23T14:15Z",2.09,7.08,3.32,3.057,0.246,NA,"dmikros@battelleecology.org",NA
"f4941731-6173-4688-a4ec-af526ebcfc1c","HARV_037.basePlot.bgc","D01","HARV","HARV_037",NA,"2018-04-19T15:55Z","NEON.DOC.014048vF","HARV_037-M-35-17.5-20180419","A00000001269","HARV_037-M-35-17.5-20180419-SM","M","2018-04-20T13:00Z","2018-04-23T14:15Z",2.16,12.16,6,1.604,0.384,NA,"dmikros@battelleecology.org",NA
"09ca1a62-769a-450f-b910-700422cbcf9d","HARV_037.basePlot.bgc","D01","HARV","HARV_037",NA,"2018-04-19T16:12Z","NEON.DOC.014048vF","HARV_037-O-10-4.5-20180419","A00000001253","HARV_037-O-10-4.5-20180419-SM","O","2018-04-20T13:00Z","2018-04-23T14:15Z",2.11,7.1,3.15,3.798,0.208,NA,"dmikros@battelleecology.org",NA
"7d64f6b1-e4e0-45e1-ad0e-11bfb192a2d2","HARV_037.basePlot.bgc","D01","HARV","HARV_037",NA,"2018-04-19T16:15Z","NEON.DOC.014048vF","HARV_037-M-10-4.5-20180419","A00000001268","HARV_037-M-10-4.5-20180419-SM","M","2018-04-20T13:00Z","2018-04-23T14:15Z",2.13,12.13,6.77,1.155,0.464,NA,"dmikros@battelleecology.org",NA
"8c88163f-afd2-47fb-bb9b-8bf032c02204","HARV_002.basePlot.bgc","D01","HARV","HARV_002",NA,"2018-05-07T16:28Z","NEON.DOC.014048vF","HARV_002-M-9.5-1.5-20180507","A00000000620","HARV_002-M-9.5-1.5-20180507-SM","M","2018-05-08T13:00Z","2018-05-10T18:25Z",2.1,12.55,9.35,0.441,0.694,"Organic horizon included. Less than 5 cm and not included in n-trans initial core.","gvanscoy@field-ops.org",NA
"d6034cae-9755-411c-9906-e21bf721af74","HARV_002.basePlot.bgc","D01","HARV","HARV_002",NA,"2018-05-07T16:54Z","NEON.DOC.014048vF","HARV_002-M-34.5-24-20180507","A00000000621","HARV_002-M-34.5-24-20180507-SM","M","2018-05-08T13:00Z","2018-05-10T18:25Z",2.06,12.34,9.05,0.471,0.68,"","gvanscoy@field-ops.org",NA
"a771af8b-35fc-4473-9adc-d6314d3ad041","HARV_002.basePlot.bgc","D01","HARV","HARV_002",NA,"2018-05-07T16:56Z","NEON.DOC.014048vF","HARV_002-O-34.5-24-20180507","A00000001082","HARV_002-O-34.5-24-20180507-SM","O","2018-05-08T13:00Z","2018-05-10T18:25Z",2.09,7.13,4.36,1.22,0.45,"","gvanscoy@field-ops.org",NA
"f4492356-b846-4a68-94d6-d47a5ffb4938","HARV_002.basePlot.bgc","D01","HARV","HARV_002",NA,"2018-05-07T16:40Z","NEON.DOC.014048vF","HARV_002-M-28.5-1.5-20180507","A00000000727","HARV_002-M-28.5-1.5-20180507-SM","M","2018-05-08T13:00Z","2018-05-10T18:25Z",2.12,12.28,9.35,0.405,0.712,"","gvanscoy@field-ops.org",NA
"6c39bbd1-5efe-4378-bea8-aaf031092a79","HARV_002.basePlot.bgc","D01","HARV","HARV_002",NA,"2018-05-07T16:40Z","NEON.DOC.014048vF","HARV_002-O-28.5-1.5-20180507","A00000001115","HARV_002-O-28.5-1.5-20180507-SM","O","2018-05-08T13:00Z","2018-05-10T18:25Z",2.13,7.12,4.33,1.268,0.441,"","gvanscoy@field-ops.org",NA
"9436f249-40ff-487f-b8b7-67cebdee7753","HARV_005.basePlot.bgc","D01","HARV","HARV_005",NA,"2018-05-07T15:22Z","NEON.DOC.014048vF","HARV_005-M-12.5-38-20180507","A00000000619","HARV_005-M-12.5-38-20180507-SM","M","2018-05-08T15:35Z","2018-05-10T18:25Z",2.13,12.28,8.18,0.678,0.596,"","gvanscoy@field-ops.org",NA
"0591813c-49d3-4330-bc9c-a717f934a920","HARV_021.basePlot.bgc","D01","HARV","HARV_021",NA,"2018-05-07T17:42Z","NEON.DOC.014048vF","HARV_021-O-1-22.5-20180507","A00000000622","HARV_021-O-1-22.5-20180507-SM","O","2018-05-08T15:10Z","2018-05-10T18:25Z",2.11,7.17,4.22,1.398,0.417,"","gvanscoy@field-ops.org",NA
"613f33a3-da02-4743-99d2-63fcdb7582e2","HARV_005.basePlot.bgc","D01","HARV","HARV_005",NA,"2018-05-07T15:07Z","NEON.DOC.014048vF","HARV_005-O-36-21-20180507","A00000001099","HARV_005-O-36-21-20180507-SM","O","2018-05-08T15:25Z","2018-05-10T18:25Z",2.15,7.46,3.67,2.493,0.286,"","gvanscoy@field-ops.org",NA
"08283478-ded3-4104-816a-c36c09a0ca49","HARV_021.basePlot.bgc","D01","HARV","HARV_021",NA,"2018-05-07T17:42Z","NEON.DOC.014048vF","HARV_021-M-1-22.5-20180507","A00000000690","HARV_021-M-1-22.5-20180507-SM","M","2018-05-08T15:21Z","2018-05-10T18:25Z",2.12,12.32,9.99,0.296,0.772,"","gvanscoy@field-ops.org",NA
"6f421423-6caf-4d23-a983-f3f77fd015f3","HARV_005.basePlot.bgc","D01","HARV","HARV_005",NA,"2018-05-07T15:07Z","NEON.DOC.014048vF","HARV_005-M-36-21-20180507","A00000000618","HARV_005-M-36-21-20180507-SM","M","2018-05-08T15:35Z","2018-05-10T18:25Z",2.1,10.08,7.04,0.615,0.619,"","gvanscoy@field-ops.org",NA
"a425bf15-4130-4ab0-a8df-a036b7c8123d","HARV_021.basePlot.bgc","D01","HARV","HARV_021",NA,"2018-05-07T18:03Z","NEON.DOC.014048vF","HARV_021-O-16.5-6-20180507","A00000000639","HARV_021-O-16.5-6-20180507-SM","O","2018-05-08T15:14Z","2018-05-10T18:25Z",2.19,7.39,4.23,1.549,0.392,"","gvanscoy@field-ops.org",NA
