"uid","domainID","siteID","plotID","namedLocation","plotType","nlcdClass","geodeticDatum","decimalLatitude","decimalLongitude","coordinateUncertainty","elevation","elevationUncertainty","collectDate","referenceCorner","sampleDistance","sampleBearing","pitID","testProtocolVersion","soilSamplingMethod","sampleRelativeLocation","pitDepth","recordedByA","soilProfileDescriberA","soilProfileDescriberInst","nrcsDescriptionID","soilSeries","soilFamily","soilSubgroup","soilGreatGroup","soilSuborder","soilOrder","remarks","dataQF"
"62cb09cc-9abc-47c2-b217-545b91a82928","D01","BART","BART_013","BART_013.basePlot.all","distributed","deciduousForest","WGS84",44.041738,-71.277599,20.2,414.8,0.2,"2016-06-23","NW40",0.5,122,"1091233","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"khnyfeTHrVrnoE60k+Xq+OCoadk+UCyh","khnyfeTHrVrnoE60k+Xq+OCoadk+UCyh","Natural Resource Conservation Service","S2016NH003014","Marlow","Coarse-loamy, isotic, frigid Oxyaquic Haplorthods","oxyaquic haplorthods","haplorthods","orthods","spodosols","pit;BART;20160623;BART_013;Jessica Philippe Martha Stuart;5.3;122;40x40 NW marker;center of pit",NA
"e1a1bc58-0145-45e1-939f-8d2fa15c4f68","D01","BART","BART_011","BART_011.basePlot.all","distributed","mixedForest","WGS84",44.050006,-71.296275,20.1,370.1,0.2,"2016-06-24","SW20",0.6,307,"1091234","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",125,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003015","Series Not Determined","Loamy-skeletal, isotic, frigid Aquic Haplorthods","aquic haplorthods","haplorthods","orthods","spodosols","pit;BART;20160624;BART_011;Roger DeKett Martha Stuart;5.5;307;20x20 SW marker;center of pit",NA
"34498502-f8e1-4273-bd76-bd474667feb0","D01","HARV","HARV_015","HARV_015.basePlot.all","distributed","deciduousForest","WGS84",42.53883,-72.182056,20.2,362.5,0.2,"2016-10-25","SW40",2,76,"1126030","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"7j6KtGic1DeWBCil8yP5Zg==","FJNYBhC120UGtz5RBVPGvg==","Natural Resource Conservation Service","S2016MA027015","Chichester","Loamy-skeletal, mixed, superactive, frigid Typic Dystrudepts","typic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20161025;HARV_015;Donald Parizek Jacob Isleib Shawn Finn Michael Margo;19.6;76;40X40 SW;center of pit",NA
"2ef5f6c9-9b27-4053-80bf-fe1effe291f3","D01","HARV","HARV_022","HARV_022.basePlot.all","distributed","evergreenForest","WGS84",42.434194,-72.198778,20.2,188.1,0.2,"2017-05-09","SW40",0.8,60,"1111529","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",170,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1DeWBCil8yP5Zg==","Natural Resource Conservation Service","S2017MA027022","Windsor","Mixed, mesic Typic Udipsamments","typic udipsamments","udipsamments","psamments","entisols","Pit;HARV;20170509;HARV_022; Donald Parizek Jacob Isleib Milton Vega;8.2;60;40X40 SW;center of pit",NA
"7d03e4b8-0833-4a34-964b-51cb742647e9","D01","HARV","HARV_030","HARV_030.basePlot.all","distributed","evergreenForest","WGS84",42.42305,-72.219,20.2,171.3,0.2,"2017-05-16","SE20",0.8,242,"1215925","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",112,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1DeWBCil8yP5Zg==","Natural Resource Conservation Service","S2017MA027030","Hinckley","Sandy-skeletal, mixed, mesic Typic Udorthents","typic udorthents","udorthents","orthents","entisols","Pit;HARV;20170516;HARV_030; Donald Parizek Jacob Isleib Milton Vega Janet Bryant Paul Bryant;7.6;242;20X20 SE;center of pit",NA
"bd77bbb5-baa5-4e64-a5ad-5194b6bc0d75","D01","HARV","HARV_017","HARV_017.basePlot.all","distributed","deciduousForest","WGS84",42.481748,-72.267082,20.2,225.8,0.2,"2017-05-23","SW40",1.1,60,"1111530","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",132,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1DeWBCil8yP5Zg==","Natural Resource Conservation Service","S2017MA027017","Montauk","Coarse-loamy, mixed, active, mesic Oxyaquic Dystrudepts","oxyaquic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170523;HARV_017; Donald Parizek Milton Vega Jacob Isleib ; Janet Bryant Paul Bryant 10.9;60;40X40 SW;center of pit",NA
"d1f34497-897b-481f-82f7-185c472d0fba","D01","HARV","HARV_005","HARV_005.basePlot.all","distributed","deciduousForest","WGS84",42.48948,-72.2752,20.1,187.7,0.2,"2017-05-30","SW40",0.7,58,"1111532","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"FJNYBhC120UGtz5RBVPGvg==","FJNYBhC120UGtz5RBVPGvg==","Natural Resource Conservation Service","S2017MA027005","Montauk","Loamy-skeletal, mixed, active, mesic Oxyaquic Dystrudepts","oxyaquic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170530;HARV_005; Jacob Isleib Milton Vega Megan McClellan Amanda Davila;6.6;58;40X40 SW;center of pit",NA
"f852a881-35f1-4cae-8106-96e5f4597027","D01","HARV","HARV_031","HARV_031.basePlot.all","distributed","evergreenForest","WGS84",42.46751,-72.2601,20.2,160.3,0.3,"2017-06-14","SW40",2,26,"1215926","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",104,"7j6KtGic1DeWBCil8yP5Zg==","FJNYBhC120UGtz5RBVPGvg==","Natural Resource Conservation Service","S2017MA027031","Agawam","Coarse-loamy over sandy or sandy-skeletal, mixed, active, mesic Typic Dystrudepts","typic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170614;HARV_031; Donald Parizek Jacob Isleib Milton Vega Megan McClellan Debbie Surabian David Zimmerman;19.0;26;40X40 SW;center of pit",NA
"154a7aeb-5ee8-4fb6-adb8-d04d47b1cfcc","D01","HARV","HARV_058","HARV_058.basePlot.all","distributed","mixedForest","WGS84",42.46976,-72.2523,20.2,203,0.3,"2017-06-21","NW40",1.5,134,"1111533","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",120,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1DeWBCil8yP5Zg==","Natural Resource Conservation Service","S2017MA027058","Montauk","Coarse-loamy, mixed, active, mesic Oxyaquic Dystrudepts","oxyaquic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170621;HARV_058; Donald Parizek Jacob Isleib David Zimmerman Michael Margo;14.6;134;40X40 NW;center of pit",NA
"b8a6bd7d-7735-4653-bb1c-28ebe981d24e","D01","HARV","HARV_006","HARV_006.basePlot.all","distributed","deciduousForest","WGS84",42.403097,-72.253722,20.2,188.5,0.3,"2017-06-27","SW40",0.5,32,"1111534","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",135,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1DeWBCil8yP5Zg==","Natural Resource Conservation Service","S2017MA027006","Canton","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Typic Dystrudepts","typic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170627;HARV_006; Donald Parizek Jacob Isleib Milton Vega Maggie Payne David Zimmerman Janet Bryant;5.2;32;40X40 SW;center of pit",NA
"580747f9-7bba-46e4-a7b9-4e24b6030ef6","D01","HARV","HARV_001","HARV_001.basePlot.all","distributed","deciduousForest","WGS84",42.424254,-72.258286,20.2,190.6,0.3,"2017-08-09","SW40",1.3,48,"1111541","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"7j6KtGic1DeWBCil8yP5Zg==","2qJYSCYXjjjPm/rj/SIM0A==","Natural Resource Conservation Service","S2017MA027001","Canton","Loamy-skeletal over sandy or sandy-skeletal, mixed, superactive, mesic Typic Dystrudepts","typic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170809;HARV_001;Donald Parizek Milton Vega;12.9;48; 40X40 SW; center of pit",NA
"72f7b72a-c1d2-42d1-a507-6300ba0f4300","D01","HARV","HARV_013","HARV_013.basePlot.all","distributed","evergreenForest","WGS84",42.39229,-72.25461,20.2,184.3,0.3,"2017-08-11","SE40",0.6,328,"1215928","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",122,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1DeWBCil8yP5Zg==","Natural Resource Conservation Service","S2017MA027013","Chatfield","Loamy-skeletal, mixed, superactive, mesic Typic Dystrudepts","typic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170811;HARV_013; Donald Parizek Milton Vega Jacob Isleib Megan McClellan;5.9;328;40X40 SE;center of pit",NA
"84a87918-5705-4183-8237-58bfa12681af","D01","HARV","HARV_018","HARV_018.basePlot.all","distributed","deciduousForest","WGS84",42.432283,-72.232027,20.2,227.8,0.3,"2017-08-14","SW40",0.5,5,"1215929","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1DeWBCil8yP5Zg==","Natural Resource Conservation Service","S2017MA027018","Scituate","Coarse-loamy, mixed, active, mesic Aquic Dystrudepts","aquic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170814;HARV_018; Donald Parizek Debbie Surabian Glenn Stanisewski Brendan McClure Jameson Lond;4.6;5;40X40 SW;center of pit",NA
"2e992bb1-9846-4623-9918-3e962381ae38","D01","HARV","HARV_008","HARV_008.basePlot.all","distributed","deciduousForest","WGS84",42.444569,-72.22608,20.2,241.6,0.2,"2017-08-16","NW40",0.5,128,"1215930","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",115,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1DeWBCil8yP5Zg==","Natural Resource Conservation Service","S2017MA027008","Sutton","Coarse-loamy, mixed, superactive, mesic Aquic Dystrudepts","aquic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170816;HARV_008; Donald Parizek Jacob Isleib Milton Vega Megan McClellan Brendan McClure Jameson Long;5.3;128;40X40 NW;center of pit",NA
"2e697ed9-e647-4bac-8bb7-a21e422621db","D01","HARV","HARV_029","HARV_029.basePlot.all","distributed","evergreenForest","WGS84",42.466468,-72.237447,20.2,209.8,0.2,"2017-08-22","SE40",2.1,289,"1215931","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",106,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1DeWBCil8yP5Zg==","Natural Resource Conservation Service","S2017MA027029","Canton","Sandy-skeletal, mixed, mesic Typic Dystrudepts","typic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170822;HARV_029; Donald Parizek Jacob Isleib Tamara Hillman Blair Hudson;21.0;289;40X40 SE;center of pit",NA
"4cf878c6-9de1-43ac-8138-37362096943a","D01","HARV","HARV_011","HARV_011.basePlot.all","distributed","deciduousForest","WGS84",42.455939,-72.238279,20.2,231.6,0.3,"2017-08-23","SW40",1.2,38,"1215932","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",105,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1DeWBCil8yP5Zg==","Natural Resource Conservation Service","S2017MA027011","Newfields","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Aquic Dystrudepts","aquic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170823;HARV_011; Donald Parizek Milton Vega Janet Bryant Paul Bryant;11.8;38;40X40 SW;center of pit",NA
"c1dc9427-e098-4bb4-a01b-ec6f7c348886","D01","HARV","HARV_021","HARV_021.basePlot.all","distributed","evergreenForest","WGS84",42.45244,-72.2505,20.1,174.6,0.2,"2017-08-24","SW40",0.4,69,"1215933","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",106,"7j6KtGic1DeWBCil8yP5Zg==","FJNYBhC120UGtz5RBVPGvg==","Natural Resource Conservation Service","S2017MA027021","Sudbury","Sandy-skeletal, mixed, mesic Oxyaquic Udorthents","oxyaquic udorthents","udorthents","orthents","entisols","Pit;HARV;20170824;HARV_021; Donald Parizek Glenn Stanisewski Brendan McClure Jacob Isleib Milton Vega;3.5;69;40X40 SW;center of pit",NA
"845cc618-3c6c-4ee7-ad4b-0fcb5fa77733","D01","HARV","HARV_027","HARV_027.basePlot.all","distributed","evergreenForest","WGS84",42.430357,-72.253256,20.2,182.3,0.2,"2017-08-25","SW40",0.8,62,"1111542","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1DeWBCil8yP5Zg==","Natural Resource Conservation Service","S2017MA027027","Leicester","Loamy-skeletal, mixed, superactive, nonacid, mesic Typic Humaquepts","typic humaquepts","humaquepts","aquepts","inceptisols","Pit;HARV;20170825;HARV_027; Donald Parizek Jacob Isleib Milton Vega;8.4;62;40X40 SW;center of pit",NA
"4ef29217-f409-4a36-84e6-e1bde46669d2","D01","HARV","HARV_059","HARV_059.basePlot.all","distributed","mixedForest","WGS84",42.48082,-72.2754,20.3,167,0.3,"2017-08-28","SW40",1.5,32,"1126066","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",105,"7j6KtGic1DeWBCil8yP5Zg==","7j6KtGic1Dd+L6YvioZ/MX2dlbamlR7XkaHC6Yzxj+QfLuAr3QWOZYQ4fDj0YUK0","Natural Resource Conservation Service","S2017MA027059","Newfields","Coarse-loamy over sandy or sandy-skeletal, mixed, active, mesic Oxyaquic Dystrudepts","oxyaquic dystrudepts","dystrudepts","udepts","inceptisols","Pit;HARV;20170828;HARV_059; Donald Parizek Jacob Isleib Milton Vega Brendan McClure Paul Bryant Luis Hernandez Janet Bryant Christina Cerino;15.0;32;40X40 SW;center of pit",NA
"64af92af-9cf4-4fae-8d2f-190aeed74962","D01","HARV","HARV_024","HARV_024.basePlot.all","distributed","woodyWetlands","WGS84",42.460002,-72.250871,20.1,175,0.1,"2017-08-29","SW20",0.3,200,"1111543","Field Book for Describing and Sampling Soils ver3","soil core","Center of pit",150,"7j6KtGic1DeWBCil8yP5Zg==","2qJYSCYXjjjPm/rj/SIM0A==","Natural Resource Conservation Service","S2017MA027024","Freetown","Dysic, mesic Typic Haplosaprists","typic haplosaprists","haplosaprists","saprists","histosols","Pit;HARV;20170829;HARV_024; Donald Parizek Brendan McClure Jacob Isleib Milton Vega Janet Bryant Paul Bryant;3.2;200;20X20 SW;center of pit",NA
"4a986058-0f80-4425-8ae4-6d10974c181b","D02","BLAN","BLAN_005","BLAN_005.basePlot.all","distributed","deciduousForest","WGS84",39.087455,-77.971943,20.2,137.3,0.2,"2017-06-12","SE40",0.8,289,"1209201","Field Book for Describing and Sampling Soils ver3","soil pit","Center of Pit",100,"cMFuzbrEKtSiJJUiv6ah+Q==","cMFuzbrEKtSiJJUiv6ah+Q==","Natural Resource Conservation Service","S2017VA043005","Monongahela","Fine-loamy, mixed, semiactive, mesic Typic Fragiudults","typic fragiudults","fragiudults","udults","ultisols","8.07;289;40x40 SE marker",NA
"a3c5e931-9047-4ba5-bc99-0daaf56599af","D02","BLAN","BLAN_017","BLAN_017.basePlot.all","distributed","deciduousForest","WGS84",39.086358,-77.970995,20.3,144.4,0.4,"2017-06-12","NW20",0.9,257,"1131988","Field Book for Describing and Sampling Soils ver3","soil pit","Center of Pit",100,"QNcLZTMS5RzmjEDSVx1pbw==","Fs2eXi/J2H5AewCTB0GQXA==","Natural Resource Conservation Service","S2017VA043017","udults","","","","udults","ultisols","Casey Tree Farm near Winchester, VA. Sampling site for National Ecological Observatory Network (NEON).",NA
"7281ae84-9202-425a-98b2-e1cd3ceb2538","D02","BLAN","BLAN_011","BLAN_011.basePlot.all","distributed","deciduousForest","WGS84",39.087236,-77.974007,20.2,142.4,0.3,"2017-06-12","SW20",0.5,280,"1229597","Field Book for Describing and Sampling Soils ver3","soil pit","Center of Pit",100,"hCX/iLRB7l8UVlzMEr+MrA==","hCX/iLRB7l8UVlzMEr+MrA==","Natural Resource Conservation Service","S2017VA043011","Timberville","Fine, mixed, active, mesic Typic Hapludults","typic hapludults","hapludults","udults","ultisols","SW20 to pit center is 4m90cm @ 280 degrees",NA
"2f8e93cd-41f7-45c6-8008-7a2d49cb25ec","D02","BLAN","BLAN_001","BLAN_001.basePlot.all","distributed","deciduousForest","WGS84",39.087923,-77.958384,20.2,128,0.2,"2017-06-13","SW20",0.6,212,"1209199","Field Book for Describing and Sampling Soils ver3","soil pit","Center of Pit",100,"QNcLZTMS5RzmjEDSVx1pbw==","hCX/iLRB7l8UVlzMEr+MrA==","Natural Resource Conservation Service","S2017VA043001","Lakin","Mixed, mesic Lamellic Udipsamments","lamellic udipsamments","udipsamments","psamments","entisols","5.5;212;20x20 SW marker",NA
"10516ac7-1215-47ca-97c9-bd692717a926","D02","BLAN","BLAN_012","BLAN_012.basePlot.all","distributed","deciduousForest","WGS84",39.082049,-77.961087,20.3,138,0.3,"2017-06-13","SE20",0.5,8,"1229596","Field Book for Describing and Sampling Soils ver3","soil pit","Center of Pit",100,"cMFuzbrEKtSiJJUiv6ah+Q==","cMFuzbrEKtSiJJUiv6ah+Q==","Natural Resource Conservation Service","S2017VA043012","Thurmont","Fine-loamy, mixed, active, mesic Oxyaquic Hapludults","oxyaquic hapludults","hapludults","udults","ultisols","SE20 to pit center 180 inches @ 108 degrees",NA
"31fa9aff-802e-4252-8f2d-519935d01098","D02","BLAN","BLAN_032","BLAN_032.basePlot.all","tower","shrubScrub","WGS84",39.058572,-78.073304,20.1,184.7,0.1,"2017-06-13","NE20",0.3,51,"1131989","Field Book for Describing and Sampling Soils ver3","soil core","Center of Pit",100,"cMFuzbrEKtSiJJUiv6ah+Q==","Fs2eXi/J2H5AewCTB0GQXA==","Natural Resource Conservation Service","S2017VA043032","Poplimento","Fine, mixed, subactive, mesic Ultic Hapludalfs","ultic hapludalfs","hapludalfs","udalfs","alfisols","Blandy Farm near Winchester, VA. National Ecological Observatory Network (NEON) Tower site.",NA
