table,fieldName,description,dataType,units,downloadPkg
spc_bulkdensity,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
spc_bulkdensity,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
spc_bulkdensity,domainID,"Unique identifier of the NEON domain",string,NA,basic
spc_bulkdensity,siteID,"NEON site code",string,NA,basic
spc_bulkdensity,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
spc_bulkdensity,nrcsDescriptionID,"NRCS identifier assigned to the soil profile description",string,NA,basic
spc_bulkdensity,collectDate,"Date of the collection event",dateTime,NA,basic
spc_bulkdensity,horizonID,"An identifier for the soil horizon",string,NA,basic
spc_bulkdensity,horizonName,"Soil horizon name",string,NA,basic
spc_bulkdensity,bulkDensProcessedDate,"Date of processing sample for bulk density analysis",dateTime,NA,basic
spc_bulkdensity,bulkDensMethodPub,"Citation for publication describing the methods used for bulk density analysis",string,NA,basic
spc_bulkdensity,bulkDensMethod,"Method used for bulk density analysis",string,NA,basic
spc_bulkdensity,bulkDensIDnrcs,"Identifier used by National Resource Conservation Service (NRCS) for bulk density sample",string,NA,basic
spc_bulkdensity,bulkDensSampleType,"Type of bulk density sample",string,NA,basic
spc_bulkdensity,bulkDensCenterDepth,"Depth of the vertical center of the bulk sample below the soil surface",real,centimeter,basic
spc_bulkdensity,bulkDensTopDepth,"Top depth of the bulk density sample",real,centimeter,basic
spc_bulkdensity,bulkDensBottomDepth,"Bottom depth of the bulk density sample",real,centimeter,basic
spc_bulkdensity,bulkDensThirdBar,"Weight per unit volume of the <2 mm fraction, measured after equilibration at one third bar water tension",real,gramsPerCubicCentimeter,basic
spc_bulkdensity,bulkDensOvenDry,"Weight per unit volume of the <2 mm fraction, measured on oven dried soil clods",real,gramsPerCubicCentimeter,basic
spc_bulkdensity,bulkDensFieldMoist,"Weight per unit volume of the <2 mm fraction, measured at field moisture",real,gramsPerCubicCentimeter,basic
spc_bulkdensity,waterRetentionThirdBar,"Water content after equilibration at one-third bar water tension, reported as gravimetric percent on the <2 mm fraction",real,percent,basic
spc_bulkdensity,fieldWaterContent,"Water content under field conditions, reported as gravimetric percent on the <2 mm fraction",real,percent,basic
spc_bulkdensity,laboratoryName,"Name of the laboratory or facility that is processing the sample",string,NA,basic
spc_bulkdensity,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
spc_bulkdensity,dataQF,"Data quality flag",string,NA,basic
spc_perhorizon,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
spc_perhorizon,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
spc_perhorizon,domainID,"Unique identifier of the NEON domain",string,NA,basic
spc_perhorizon,siteID,"NEON site code",string,NA,basic
spc_perhorizon,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
spc_perhorizon,pitID,"An identifier for the soil pit",string,NA,basic
spc_perhorizon,collectDate,"Date of the collection event",dateTime,NA,basic
spc_perhorizon,testProtocolVersion,"The protocol version used to test the sample",string,NA,basic
spc_perhorizon,nrcsDescriptionID,"NRCS identifier assigned to the soil profile description",string,NA,basic
spc_perhorizon,horizonID,"An identifier for the soil horizon",string,NA,basic
spc_perhorizon,horizonName,"Soil horizon name",string,NA,basic
spc_perhorizon,horizonTopDepth,"Depth below the soil surface of the top of a soil horizon",real,centimeter,basic
spc_perhorizon,horizonBottomDepth,"Depth below the soil surface of the bottom of a soil horizon",real,centimeter,basic
spc_perhorizon,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
spc_perhorizon,dataQF,"Data quality flag",string,NA,basic
spc_perplot,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
spc_perplot,domainID,"Unique identifier of the NEON domain",string,NA,basic
spc_perplot,siteID,"NEON site code",string,NA,basic
spc_perplot,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
spc_perplot,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
spc_perplot,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",string,NA,basic
spc_perplot,nlcdClass,"National Land Cover Database Vegetation Type Name",string,NA,basic
spc_perplot,geodeticDatum,"Model used to measure horizontal position on the earth",string,NA,basic
spc_perplot,decimalLatitude,"The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,basic
spc_perplot,decimalLongitude,"The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,basic
spc_perplot,coordinateUncertainty,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term",real,meter,basic
spc_perplot,elevation,"Elevation (in meters) above sea level",real,meter,basic
spc_perplot,elevationUncertainty,"Uncertainty in elevation values (in meters)",real,meter,basic
spc_perplot,collectDate,"Date of the collection event",dateTime,NA,basic
spc_perplot,referenceCorner,"Reference corner from which distance and compass bearing were measured",string,NA,basic
spc_perplot,sampleDistance,"Distance of the sample location from a plot reference corner",real,meter,basic
spc_perplot,sampleBearing,"Compass bearing of the sample location from a plot reference corner",real,degree,basic
spc_perplot,pitID,"An identifier for the soil pit",string,NA,basic
spc_perplot,testProtocolVersion,"The protocol version used to test the sample",string,NA,basic
spc_perplot,soilSamplingMethod,"The methodology used for collecting soil at a plot (pit or core)",string,NA,basic
spc_perplot,sampleRelativeLocation,"Relative position of a sample location",string,NA,basic
spc_perplot,pitDepth,"Depth of the bottom of the soil pit below the soil surface",real,centimeter,basic
spc_perplot,recordedByA,"An identifier for one of the people who recorded the data",string,NA,basic
spc_perplot,soilProfileDescriberA,"An identifier for one of the people who described the soil profile",string,NA,basic
spc_perplot,soilProfileDescriberInst,"Institution of the person/people that performed the soil profile description",string,NA,basic
spc_perplot,nrcsDescriptionID,"NRCS identifier assigned to the soil profile description",string,NA,basic
spc_perplot,soilSeries,"Soil taxonomy at the series level",string,NA,basic
spc_perplot,soilFamily,"Soil taxonomy at the family level",string,NA,basic
spc_perplot,soilSubgroup,"Soil taxonomy at the subgroup level",string,NA,basic
spc_perplot,soilGreatGroup,"Soil taxonomy at the great group level",string,NA,basic
spc_perplot,soilSuborder,"Soil taxonomy at the suborder level",string,NA,basic
spc_perplot,soilOrder,"Soil taxonomy at the order level",string,NA,basic
spc_perplot,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
spc_perplot,dataQF,"Data quality flag",string,NA,basic
